"Run","Graph","Vertices","Edges","Density","Total Time","Order",
16,16.txt,867,18711,0.04984137385425574,2556986 ms,LowerBound[13783 ms][chrom: 54],UpperBound[17 ms][chrom: 502],Cycle[18 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[2522118 ms][chrom: 54],DSatur[7426 ms][chrom: 54],OrderedGreedy[40 ms][chrom: 54],LowerBoundGreedy[13583 ms][chrom: 54],
17,17.txt,81,293,0.0904320987654321,692 ms,LowerBound[114 ms][chrom: 4],UpperBound[1 ms][chrom: 14],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[403 ms][chrom: 5],DSatur[59 ms][chrom: 6],OrderedGreedy[1 ms][chrom: 6],LowerBoundGreedy[113 ms][chrom: 5],
18,18.txt,52,52,0.0392156862745098,173 ms,LowerBound[46 ms][chrom: 4],UpperBound[0 ms][chrom: 3],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[7 ms][is: false],Greedy[49 ms][chrom: 4],DSatur[24 ms][chrom: 4],OrderedGreedy[0 ms][chrom: 4],LowerBoundGreedy[47 ms][chrom: 4],
19,19.txt,32,466,0.9395161290322581,342 ms,LowerBound[19 ms][chrom: 31],UpperBound[0 ms][chrom: 31],Cycle[0 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[268 ms][chrom: 31],DSatur[17 ms][chrom: 31],OrderedGreedy[1 ms][chrom: 31],LowerBoundGreedy[36 ms][chrom: 31],
20,20.txt,82,811,0.24420355314664258,1480 ms,LowerBound[123 ms][chrom: 3],UpperBound[0 ms][chrom: 21],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[1165 ms][chrom: 9],DSatur[63 ms][chrom: 10],OrderedGreedy[2 ms][chrom: 10],LowerBoundGreedy[127 ms][chrom: 10],
21,21.txt,218,1267,0.05356614382953537,7410 ms,LowerBound[842 ms][chrom: 6],UpperBound[0 ms][chrom: 13],Cycle[0 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[5229 ms][chrom: 7],DSatur[458 ms][chrom: 8],OrderedGreedy[4 ms][chrom: 8],LowerBoundGreedy[876 ms][chrom: 8],
22,22.txt,529,271,0.0019404823280059576,20724 ms,LowerBound[5413 ms][chrom: 2],UpperBound[1 ms][chrom: 2],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[4996 ms][is: false],Greedy[2631 ms][chrom: 3],DSatur[2531 ms][chrom: 3],OrderedGreedy[11 ms][chrom: 3],LowerBoundGreedy[5140 ms][chrom: 3],
23,23.txt,206,961,0.0455126687189202,5395 ms,LowerBound[794 ms][chrom: 3],UpperBound[1 ms][chrom: 18],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[2 ms][is: false],Greedy[3462 ms][chrom: 6],DSatur[394 ms][chrom: 6],OrderedGreedy[3 ms][chrom: 6],LowerBoundGreedy[738 ms][chrom: 7],
24,24.txt,744,744,0.0026917900403768506,46094 ms,LowerBound[10122 ms][chrom: 2],UpperBound[1 ms][chrom: 5],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[10227 ms][is: false],Greedy[10216 ms][chrom: 3],DSatur[5161 ms][chrom: 2],OrderedGreedy[15 ms][chrom: 3],LowerBoundGreedy[10351 ms][chrom: 3],
25,25.txt,215,1642,0.0713757878722017,8678 ms,LowerBound[856 ms][chrom: 5],UpperBound[1 ms][chrom: 70],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[6506 ms][chrom: 9],DSatur[418 ms][chrom: 10],OrderedGreedy[4 ms][chrom: 10],LowerBoundGreedy[892 ms][chrom: 11],
